Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1982,1982,January,N,Final,3760766,3440127,320639,0.085
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1982,1982,January,Y,Final,3788474,3479677,308797,0.082
State,California,01-01-1983,1983,January,N,Final,12200735,10771383,1429352,0.117
State,California,01-01-1983,1983,January,Y,Final,12257740,10902953,1354787,0.111
County,Los Angeles County,01-01-1983,1983,January,N,Final,3790727,3367361,423366,0.112
County,Los Angeles County,01-01-1983,1983,January,Y,Final,3801581,3390534,411047,0.108
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1983,1983,January,N,Final,3790727,3367361,423366,0.112
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1983,1983,January,Y,Final,3801581,3390534,411047,0.108
State,California,01-01-1984,1984,January,N,Final,12307027,11211464,1095563,0.089
State,California,01-01-1984,1984,January,Y,Final,12398171,11372769,1025402,0.083
County,Los Angeles County,01-01-1984,1984,January,N,Final,3809391,3489108,320283,0.084
County,Los Angeles County,01-01-1984,1984,January,Y,Final,3836640,3525903,310737,0.081
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1984,1984,January,N,Final,3809391,3489108,320283,0.084
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1984,1984,January,Y,Final,3836640,3525903,310737,0.081
State,California,01-01-1985,1985,January,N,Final,12797431,11764747,1032684,0.081
State,California,01-01-1985,1985,January,Y,Final,12863443,11919980,943463,0.073
County,Los Angeles County,01-01-1985,1985,January,N,Final,3964207,3656055,308152,0.078
County,Los Angeles County,01-01-1985,1985,January,Y,Final,3979385,3685424,293961,0.074
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1985,1985,January,N,Final,3964207,3656055,308152,0.078
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1985,1985,January,Y,Final,3979385,3685424,293961,0.074
State,California,01-01-1986,1986,January,N,Final,13037447,12108390,929057,0.071
State,California,01-01-1986,1986,January,Y,Final,13123458,12223689,899769,0.069
County,Los Angeles County,01-01-1986,1986,January,N,Final,4015177,3750083,265094,0.066
County,Los Angeles County,01-01-1986,1986,January,Y,Final,4034239,3768265,265974,0.066
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1986,1986,January,N,Final,4015177,3750083,265094,0.066
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1986,1986,January,Y,Final,4034239,3768265,265974,0.066
State,California,01-01-1987,1987,January,N,Final,13481864,12540995,940869,0.07
State,California,01-01-1987,1987,January,Y,Final,13560957,12689035,871922,0.064
County,Los Angeles County,01-01-1987,1987,January,N,Final,4141637,3864516,277121,0.067
County,Los Angeles County,01-01-1987,1987,January,Y,Final,4167682,3896180,271502,0.065
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1987,1987,January,N,Final,4141637,3864516,277121,0.067
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1987,1987,January,Y,Final,4167682,3896180,271502,0.065
State,California,01-01-1988,1988,January,N,Final,13917104,13087945,829159,0.06
State,California,01-01-1988,1988,January,Y,Final,13967800,13214733,753067,0.054
County,Los Angeles County,01-01-1988,1988,January,N,Final,4294279,4054852,239427,0.056
County,Los Angeles County,01-01-1988,1988,January,Y,Final,4309316,4082484,226832,0.053
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1988,1988,January,N,Final,4294279,4054852,239427,0.056
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1988,1988,January,Y,Final,4309316,4082484,226832,0.053
State,California,01-01-1989,1989,January,N,Final,14324436,13509840,814596,0.057
State,California,01-01-1989,1989,January,Y,Final,14356113,13632369,723744,0.05
County,Los Angeles County,01-01-1989,1989,January,N,Final,4355152,4118287,236865,0.054
County,Los Angeles County,01-01-1989,1989,January,Y,Final,4370849,4149193,221656,0.051
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1989,1989,January,N,Final,4355152,4118287,236865,0.054
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1989,1989,January,Y,Final,4370849,4149193,221656,0.051
State,California,01-01-1990,1990,January,N,Final,14967100,14112400,854600,0.057
State,California,01-01-1990,1990,January,Y,Final,15008900,14235500,773400,0.052
County,Alameda County,01-01-1990,1990,January,N,Final,676500,650200,26300,0.039
County,Alpine County,01-01-1990,1990,January,N,Final,600,580,20,0.025
County,Amador County,01-01-1990,1990,January,N,Final,11100,10340,760,0.069
County,Butte County,01-01-1990,1990,January,N,Final,76800,69400,7400,0.097
County,Calaveras County,01-01-1990,1990,January,N,Final,12980,11840,1140,0.088
County,Colusa County,01-01-1990,1990,January,N,Final,7100,5550,1550,0.219
County,Contra Costa County,01-01-1990,1990,January,N,Final,434700,418000,16700,0.038
County,Del Norte County,01-01-1990,1990,January,N,Final,9050,7490,1560,0.173
County,El Dorado County,01-01-1990,1990,January,N,Final,62900,59700,3100,0.05
County,Fresno County,01-01-1990,1990,January,N,Final,311200,271900,39200,0.126
County,Glenn County,01-01-1990,1990,January,N,Final,10860,9350,1510,0.139
County,Humboldt County,01-01-1990,1990,January,N,Final,55800,50100,5700,0.102
County,Imperial County,01-01-1990,1990,January,N,Final,48500,37900,10600,0.219
County,Inyo County,01-01-1990,1990,January,N,Final,6820,6330,490,0.071
County,Kern County,01-01-1990,1990,January,N,Final,246900,219000,27800,0.113
County,Kings County,01-01-1990,1990,January,N,Final,35500,30900,4500,0.128
County,Lake County,01-01-1990,1990,January,N,Final,18900,16850,2050,0.109
County,Lassen County,01-01-1990,1990,January,N,Final,9550,8200,1350,0.141
County,Los Angeles County,01-01-1990,1990,January,N,Final,4514400,4247700,266700,0.059
County,Los Angeles County,01-01-1990,1990,January,Y,Final,4516900,4264000,252800,0.056
County,Madera County,01-01-1990,1990,January,N,Final,38200,33700,4600,0.119
County,Marin County,01-01-1990,1990,January,N,Final,131900,128700,3200,0.025
County,Mariposa County,01-01-1990,1990,January,N,Final,5850,5310,540,0.093
County,Mendocino County,01-01-1990,1990,January,N,Final,37340,33450,3890,0.104
County,Merced County,01-01-1990,1990,January,N,Final,74200,63700,10500,0.141
County,Modoc County,01-01-1990,1990,January,N,Final,3700,3250,460,0.123
County,Mono County,01-01-1990,1990,January,N,Final,6720,6540,190,0.028
County,Monterey County,01-01-1990,1990,January,N,Final,166900,143600,23300,0.14
County,Napa County,01-01-1990,1990,January,N,Final,54700,52500,2200,0.041
County,Nevada County,01-01-1990,1990,January,N,Final,34960,32920,2040,0.058
County,Orange County,01-01-1990,1990,January,N,Final,1349800,1310000,39800,0.029
County,Placer County,01-01-1990,1990,January,N,Final,87900,84000,3900,0.045
County,Plumas County,01-01-1990,1990,January,N,Final,9060,7580,1480,0.163
County,Riverside County,01-01-1990,1990,January,N,Final,521700,493600,28100,0.054
County,Sacramento County,01-01-1990,1990,January,N,Final,512100,487900,24200,0.047
County,San Benito County,01-01-1990,1990,January,N,Final,19500,16900,2500,0.129
County,San Bernardino County,01-01-1990,1990,January,N,Final,623600,594000,29600,0.047
County,San Diego County,01-01-1990,1990,January,N,Final,1201000,1152600,48400,0.04
County,San Francisco County,01-01-1990,1990,January,N,Final,409500,394200,15300,0.037
County,San Joaquin County,01-01-1990,1990,January,N,Final,216800,193300,23500,0.108
County,San Luis Obispo County,01-01-1990,1990,January,N,Final,96700,92600,4100,0.043
County,San Mateo County,01-01-1990,1990,January,N,Final,370200,360800,9400,0.025
County,Santa Barbara County,01-01-1990,1990,January,N,Final,188900,179600,9300,0.049
County,Santa Clara County,01-01-1990,1990,January,N,Final,847400,817300,30100,0.036
County,Santa Cruz County,01-01-1990,1990,January,N,Final,126800,115200,11600,0.092
County,Shasta County,01-01-1990,1990,January,N,Final,65400,58000,7400,0.113
County,Sierra County,01-01-1990,1990,January,N,Final,1570,1280,290,0.185
County,Siskiyou County,01-01-1990,1990,January,N,Final,19100,15920,3170,0.166
County,Solano County,01-01-1990,1990,January,N,Final,160000,152400,7600,0.048
County,Sonoma County,01-01-1990,1990,January,N,Final,202500,194400,8200,0.04
County,Stanislaus County,01-01-1990,1990,January,N,Final,172500,150900,21600,0.125
County,Sutter County,01-01-1990,1990,January,N,Final,30700,25500,5200,0.169
County,Tehama County,01-01-1990,1990,January,N,Final,19610,17640,1970,0.1
County,Trinity County,01-01-1990,1990,January,N,Final,5460,4420,1040,0.19
County,Tulare County,01-01-1990,1990,January,N,Final,136000,118600,17400,0.128
County,Tuolumne County,01-01-1990,1990,January,N,Final,18690,16970,1730,0.092
County,Ventura County,01-01-1990,1990,January,N,Final,358700,339100,19600,0.055
County,Yolo County,01-01-1990,1990,January,N,Final,71100,65100,6100,0.085
County,Yuba County,01-01-1990,1990,January,N,Final,20300,17700,2500,0.125
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,01-01-1990,1990,January,N,Final,1349800,1310000,39800,0.029
Metropolitan Area,Bakersfield MSA,01-01-1990,1990,January,N,Final,246900,219000,27800,0.113
Metropolitan Area,Chico MSA,01-01-1990,1990,January,N,Final,76800,69400,7400,0.097
Metropolitan Area,El Centro MSA,01-01-1990,1990,January,N,Final,48500,37900,10600,0.219
Metropolitan Area,Fresno MSA,01-01-1990,1990,January,N,Final,311200,271900,39200,0.126
Metropolitan Area,Hanford-Corcoran MSA,01-01-1990,1990,January,N,Final,35500,30900,4500,0.128
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1990,1990,January,N,Final,4514400,4247700,266700,0.059
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1990,1990,January,Y,Final,4516900,4264000,252800,0.056
Metropolitan Area,Madera MSA,01-01-1990,1990,January,N,Final,38200,33700,4600,0.119
Metropolitan Area,Merced MSA,01-01-1990,1990,January,N,Final,74200,63700,10500,0.141
Metropolitan Area,Modesto MSA,01-01-1990,1990,January,N,Final,172500,150900,21600,0.125
Metropolitan Area,Napa MSA,01-01-1990,1990,January,N,Final,54700,52500,2200,0.041
Metropolitan Area,Oakland-Hayward-Berkeley MD,01-01-1990,1990,January,N,Final,1111200,1068200,43000,0.039
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,01-01-1990,1990,January,N,Final,358700,339100,19600,0.055
Metropolitan Area,Redding MSA,01-01-1990,1990,January,N,Final,65400,58000,7400,0.113
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,01-01-1990,1990,January,N,Final,1145300,1087600,57700,0.05
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,01-01-1990,1990,January,N,Final,734000,696700,37300,0.051
Metropolitan Area,Salinas MSA,01-01-1990,1990,January,N,Final,166900,143600,23300,0.14
Metropolitan Area,San Diego-Carlsbad MSA,01-01-1990,1990,January,N,Final,1201000,1152600,48400,0.04
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,01-01-1990,1990,January,N,Final,779700,755000,24700,0.032
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,01-01-1990,1990,January,N,Final,866900,834300,32600,0.038
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,01-01-1990,1990,January,N,Final,96700,92600,4100,0.043
Metropolitan Area,San Rafael MD,01-01-1990,1990,January,N,Final,131900,128700,3200,0.025
Metropolitan Area,Santa Cruz-Watsonville MSA,01-01-1990,1990,January,N,Final,126800,115200,11600,0.092
Metropolitan Area,Santa Maria-Santa Barbara MSA,01-01-1990,1990,January,N,Final,188900,179600,9300,0.049
Metropolitan Area,Santa Rosa MSA,01-01-1990,1990,January,N,Final,202500,194400,8200,0.04
Metropolitan Area,Stockton-Lodi MSA,01-01-1990,1990,January,N,Final,216800,193300,23500,0.108
Metropolitan Area,Vallejo-Fairfield MSA,01-01-1990,1990,January,N,Final,160000,152400,7600,0.048
Metropolitan Area,Visalia-Porterville MSA,01-01-1990,1990,January,N,Final,136000,118600,17400,0.128
Metropolitan Area,Yuba City MSA,01-01-1990,1990,January,N,Final,51000,43300,7700,0.151
State,California,01-01-1991,1991,January,N,Final,15020200,13878300,1141900,0.076
State,California,01-01-1991,1991,January,Y,Final,15121900,14041900,1080000,0.071
County,Alameda County,01-01-1991,1991,January,N,Final,674700,640700,34100,0.05
County,Alpine County,01-01-1991,1991,January,N,Final,540,510,30,0.052
County,Amador County,01-01-1991,1991,January,N,Final,11850,10870,980,0.083
County,Butte County,01-01-1991,1991,January,N,Final,79000,70600,8400,0.106
County,Calaveras County,01-01-1991,1991,January,N,Final,13850,12420,1430,0.103
County,Colusa County,01-01-1991,1991,January,N,Final,7760,5660,2110,0.271
County,Contra Costa County,01-01-1991,1991,January,N,Final,437100,414200,22900,0.052
County,Del Norte County,01-01-1991,1991,January,N,Final,9780,8450,1330,0.136
County,El Dorado County,01-01-1991,1991,January,N,Final,65400,61000,4400,0.067
County,Fresno County,01-01-1991,1991,January,N,Final,330300,280900,49400,0.15
County,Glenn County,01-01-1991,1991,January,N,Final,10800,8940,1850,0.172
County,Humboldt County,01-01-1991,1991,January,N,Final,56300,50400,6000,0.106
County,Imperial County,01-01-1991,1991,January,N,Final,48300,37200,11100,0.23
County,Inyo County,01-01-1991,1991,January,N,Final,7320,6610,720,0.098
County,Kern County,01-01-1991,1991,January,N,Final,260500,227800,32700,0.126
County,Kings County,01-01-1991,1991,January,N,Final,37500,31700,5800,0.155
County,Lake County,01-01-1991,1991,January,N,Final,19920,17540,2380,0.119
County,Lassen County,01-01-1991,1991,January,N,Final,10240,8720,1520,0.148
County,Los Angeles County,01-01-1991,1991,January,N,Final,4397500,4076400,321100,0.073
County,Los Angeles County,01-01-1991,1991,January,Y,Final,4438000,4121700,316300,0.071
County,Madera County,01-01-1991,1991,January,N,Final,42200,36200,5900,0.141
County,Marin County,01-01-1991,1991,January,N,Final,130500,125800,4600,0.035
County,Mariposa County,01-01-1991,1991,January,N,Final,6120,5490,630,0.103
County,Mendocino County,01-01-1991,1991,January,N,Final,38490,33450,5040,0.131
County,Merced County,01-01-1991,1991,January,N,Final,75900,62800,13100,0.172
County,Modoc County,01-01-1991,1991,January,N,Final,3660,3020,640,0.174
County,Mono County,01-01-1991,1991,January,N,Final,6400,5960,440,0.069
County,Monterey County,01-01-1991,1991,January,N,Final,171300,141100,30200,0.177
County,Napa County,01-01-1991,1991,January,N,Final,54500,51100,3400,0.062
County,Nevada County,01-01-1991,1991,January,N,Final,37490,34840,2660,0.071
County,Orange County,01-01-1991,1991,January,N,Final,1320000,1257700,62300,0.047
County,Placer County,01-01-1991,1991,January,N,Final,91000,85000,6000,0.066
County,Plumas County,01-01-1991,1991,January,N,Final,9160,7470,1690,0.185
County,Riverside County,01-01-1991,1991,January,N,Final,550700,499800,50900,0.092
County,Sacramento County,01-01-1991,1991,January,N,Final,525600,491300,34300,0.065
County,San Benito County,01-01-1991,1991,January,N,Final,19600,15700,3900,0.199
County,San Bernardino County,01-01-1991,1991,January,N,Final,647400,597600,49800,0.077
County,San Diego County,01-01-1991,1991,January,N,Final,1212200,1141200,71000,0.059
County,San Francisco County,01-01-1991,1991,January,N,Final,403400,384100,19400,0.048
County,San Joaquin County,01-01-1991,1991,January,N,Final,225500,194900,30600,0.136
County,San Luis Obispo County,01-01-1991,1991,January,N,Final,94200,88100,6100,0.065
County,San Mateo County,01-01-1991,1991,January,N,Final,365400,352700,12700,0.035
County,Santa Barbara County,01-01-1991,1991,January,N,Final,194300,181700,12600,0.065
County,Santa Clara County,01-01-1991,1991,January,N,Final,847800,802700,45100,0.053
County,Santa Cruz County,01-01-1991,1991,January,N,Final,133000,117800,15300,0.115
County,Shasta County,01-01-1991,1991,January,N,Final,68300,59100,9100,0.134
County,Sierra County,01-01-1991,1991,January,N,Final,1530,1250,280,0.183
County,Siskiyou County,01-01-1991,1991,January,N,Final,19110,15480,3630,0.19
County,Solano County,01-01-1991,1991,January,N,Final,164400,153200,11100,0.068
County,Sonoma County,01-01-1991,1991,January,N,Final,210000,198200,11900,0.057
County,Stanislaus County,01-01-1991,1991,January,N,Final,180100,151700,28400,0.158
County,Sutter County,01-01-1991,1991,January,N,Final,33300,26700,6600,0.197
County,Tehama County,01-01-1991,1991,January,N,Final,20680,17700,2980,0.144
County,Trinity County,01-01-1991,1991,January,N,Final,5200,4010,1190,0.229
County,Tulare County,01-01-1991,1991,January,N,Final,147500,118600,28900,0.196
County,Tuolumne County,01-01-1991,1991,January,N,Final,19870,17840,2040,0.102
County,Ventura County,01-01-1991,1991,January,N,Final,367600,339000,28600,0.078
County,Yolo County,01-01-1991,1991,January,N,Final,76700,69500,7200,0.094
County,Yuba County,01-01-1991,1991,January,N,Final,21600,18200,3400,0.159
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,01-01-1991,1991,January,N,Final,1320000,1257700,62300,0.047
Metropolitan Area,Bakersfield MSA,01-01-1991,1991,January,N,Final,260500,227800,32700,0.126
Metropolitan Area,Chico MSA,01-01-1991,1991,January,N,Final,79000,70600,8400,0.106
Metropolitan Area,El Centro MSA,01-01-1991,1991,January,N,Final,48300,37200,11100,0.23
Metropolitan Area,Fresno MSA,01-01-1991,1991,January,N,Final,330300,280900,49400,0.15
Metropolitan Area,Hanford-Corcoran MSA,01-01-1991,1991,January,N,Final,37500,31700,5800,0.155
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1991,1991,January,N,Final,4397500,4076400,321100,0.073
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1991,1991,January,Y,Final,4438000,4121700,316300,0.071
Metropolitan Area,Madera MSA,01-01-1991,1991,January,N,Final,42200,36200,5900,0.141
Metropolitan Area,Merced MSA,01-01-1991,1991,January,N,Final,75900,62800,13100,0.172
Metropolitan Area,Modesto MSA,01-01-1991,1991,January,N,Final,180100,151700,28400,0.158
Metropolitan Area,Napa MSA,01-01-1991,1991,January,N,Final,54500,51100,3400,0.062
Metropolitan Area,Oakland-Hayward-Berkeley MD,01-01-1991,1991,January,N,Final,1111800,1054900,57000,0.051
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,01-01-1991,1991,January,N,Final,367600,339000,28600,0.078
Metropolitan Area,Redding MSA,01-01-1991,1991,January,N,Final,68300,59100,9100,0.134
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,01-01-1991,1991,January,N,Final,1198000,1097400,100700,0.084
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,01-01-1991,1991,January,N,Final,758800,706900,51900,0.068
Metropolitan Area,Salinas MSA,01-01-1991,1991,January,N,Final,171300,141100,30200,0.177
Metropolitan Area,San Diego-Carlsbad MSA,01-01-1991,1991,January,N,Final,1212200,1141200,71000,0.059
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,01-01-1991,1991,January,N,Final,768800,736800,32100,0.042
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,01-01-1991,1991,January,N,Final,867400,818400,49000,0.056
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,01-01-1991,1991,January,N,Final,94200,88100,6100,0.065
Metropolitan Area,San Rafael MD,01-01-1991,1991,January,N,Final,130500,125800,4600,0.035
Metropolitan Area,Santa Cruz-Watsonville MSA,01-01-1991,1991,January,N,Final,133000,117800,15300,0.115
Metropolitan Area,Santa Maria-Santa Barbara MSA,01-01-1991,1991,January,N,Final,194300,181700,12600,0.065
Metropolitan Area,Santa Rosa MSA,01-01-1991,1991,January,N,Final,210000,198200,11900,0.057
Metropolitan Area,Stockton-Lodi MSA,01-01-1991,1991,January,N,Final,225500,194900,30600,0.136
Metropolitan Area,Vallejo-Fairfield MSA,01-01-1991,1991,January,N,Final,164400,153200,11100,0.068
Metropolitan Area,Visalia-Porterville MSA,01-01-1991,1991,January,N,Final,147500,118600,28900,0.196
Metropolitan Area,Yuba City MSA,01-01-1991,1991,January,N,Final,54900,44900,10000,0.182
State,California,01-01-1992,1992,January,N,Final,15149800,13747800,1402000,0.093
State,California,01-01-1992,1992,January,Y,Final,15206100,13899800,1306300,0.086
County,Alameda County,01-01-1992,1992,January,N,Final,672900,629600,43400,0.064
County,Alpine County,01-01-1992,1992,January,N,Final,570,520,40,0.076
County,Amador County,01-01-1992,1992,January,N,Final,12720,11380,1340,0.105
County,Butte County,01-01-1992,1992,January,N,Final,79600,69600,9900,0.125
County,Calaveras County,01-01-1992,1992,January,N,Final,14320,12440,1880,0.132
County,Colusa County,01-01-1992,1992,January,N,Final,7650,5260,2390,0.312
County,Contra Costa County,01-01-1992,1992,January,N,Final,438900,411000,27800,0.063
County,Del Norte County,01-01-1992,1992,January,N,Final,9690,8150,1530,0.158
County,El Dorado County,01-01-1992,1992,January,N,Final,66600,60700,5900,0.089
County,Fresno County,01-01-1992,1992,January,N,Final,337400,280000,57400,0.17
County,Glenn County,01-01-1992,1992,January,N,Final,10860,8610,2250,0.207
County,Humboldt County,01-01-1992,1992,January,N,Final,57900,51200,6600,0.114
County,Imperial County,01-01-1992,1992,January,N,Final,49300,37600,11700,0.238
County,Inyo County,01-01-1992,1992,January,N,Final,7040,6200,840,0.12
County,Kern County,01-01-1992,1992,January,N,Final,266300,225100,41100,0.154
County,Kings County,01-01-1992,1992,January,N,Final,39000,32000,6900,0.178
County,Lake County,01-01-1992,1992,January,N,Final,21290,18310,2980,0.14
County,Lassen County,01-01-1992,1992,January,N,Final,10750,9160,1590,0.148
County,Los Angeles County,01-01-1992,1992,January,N,Final,4441000,4024300,416700,0.094
County,Los Angeles County,01-01-1992,1992,January,Y,Final,4460700,4060900,399800,0.09
County,Madera County,01-01-1992,1992,January,N,Final,44100,36700,7400,0.168
County,Marin County,01-01-1992,1992,January,N,Final,130000,123900,6100,0.047
County,Mariposa County,01-01-1992,1992,January,N,Final,6520,5740,780,0.119
County,Mendocino County,01-01-1992,1992,January,N,Final,38700,33020,5680,0.147
County,Merced County,01-01-1992,1992,January,N,Final,80800,65000,15800,0.196
County,Modoc County,01-01-1992,1992,January,N,Final,4000,3360,640,0.159
County,Mono County,01-01-1992,1992,January,N,Final,6490,6030,470,0.072
County,Monterey County,01-01-1992,1992,January,N,Final,173400,142000,31400,0.181
County,Napa County,01-01-1992,1992,January,N,Final,55800,51800,4100,0.073
County,Nevada County,01-01-1992,1992,January,N,Final,38980,35480,3500,0.09
County,Orange County,01-01-1992,1992,January,N,Final,1315800,1235900,79900,0.061
County,Placer County,01-01-1992,1992,January,N,Final,92400,84400,8000,0.087
County,Plumas County,01-01-1992,1992,January,N,Final,9310,7340,1970,0.211
County,Riverside County,01-01-1992,1992,January,N,Final,569900,508700,61100,0.107
County,Sacramento County,01-01-1992,1992,January,N,Final,523600,478400,45200,0.086
County,San Benito County,01-01-1992,1992,January,N,Final,20500,16300,4300,0.209
County,San Bernardino County,01-01-1992,1992,January,N,Final,666700,605500,61200,0.092
County,San Diego County,01-01-1992,1992,January,N,Final,1204900,1121700,83200,0.069
County,San Francisco County,01-01-1992,1992,January,N,Final,403400,377100,26300,0.065
County,San Joaquin County,01-01-1992,1992,January,N,Final,232000,196000,36000,0.155
County,San Luis Obispo County,01-01-1992,1992,January,N,Final,98100,90500,7500,0.077
County,San Mateo County,01-01-1992,1992,January,N,Final,366800,349300,17500,0.048
County,Santa Barbara County,01-01-1992,1992,January,N,Final,192800,177600,15200,0.079
County,Santa Clara County,01-01-1992,1992,January,N,Final,839300,782500,56800,0.068
County,Santa Cruz County,01-01-1992,1992,January,N,Final,133400,116500,16800,0.126
County,Shasta County,01-01-1992,1992,January,N,Final,70900,60600,10300,0.145
County,Sierra County,01-01-1992,1992,January,N,Final,1610,1330,280,0.174
County,Siskiyou County,01-01-1992,1992,January,N,Final,19140,15510,3620,0.189
County,Solano County,01-01-1992,1992,January,N,Final,168000,155500,12500,0.074
